Title,DOI,Abstract
Immunopathogenesis of COVID-19 and early immunomodulators,10.3345/cep.2020.00759,"The novel coronavirus disease 2019 (COVID-19) is spreading globally. Although its etiologic agent is discovered as severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), there are many unsolved issues in COVID-19 and other infectious diseases. The causes of different clinical phenotypes and incubation periods among individuals, species specificity, and cytokine storm with lymphopenia as well as the mechanism of damage to organ cells are unknown. It has been suggested that in viral pneumonia, virus itself is not a direct cause of acute lung injury; rather, aberrant immune reactions of the host to the insults from viral infection are responsible. According to its epidemiological and clinical characteristics, SARS-CoV-2 may be a virus with low virulence in nature that has adapted to the human species. Current immunological concepts have limited ability to explain such unsolved issues, and a presumed immu-nopathogenesis of COVID-19 is presented under the protein-homeostasis-system hypothesis. Every disease, including COVID-19, has etiological substances controlled by the host immune system according to size and biochemical properties. Patients with severe pneumonia caused by SARS-CoV-2 show more severe hypercytokinemia with corresponding lympho-cytopenia than patients with mild pneumonia; thus, early immunomodulator treatment, including corticosteroids, has been considered. However, current guidelines recommend their use only for patients with advanced pneumonia or acute respiratory distress syndrome. Since the immunopathogenesis of pneumonia may be the same for all patients regardless of age or severity and the critical immune-mediated lung injury may begin in the early stage of the disease, early immunomodulator treatment, including corticosteroids and intravenous immuno-globulin, can help reduce morbidity and possibly mortality rates of older patients with underlying conditions. © 2020 by The Korean Pediatric Society."
Rapid identification of SARS-CoV-2-infected patients at the emergency department using routine testing,10.1515/cclm-2020-0593,"The novel coronavirus disease 19 (COVID-19), caused by SARS-CoV-2, spreads rapidly across the world. The exponential increase in the number of cases has resulted in overcrowding of emergency departments (ED). Detection of SARS-CoV-2 is based on an RT-PCR of nasopharyngeal swab material. However, RT-PCR testing is time-consuming and many hospitals deal with a shortage of testing materials. Therefore, we aimed to develop an algorithm to rapidly evaluate an individual's risk of SARS-CoV-2 infection at the ED. In this multicenter retrospective study, routine laboratory parameters (C-reactive protein, lactate dehydrogenase, ferritin, absolute neutrophil and lymphocyte counts), demographic data and the chest X-ray/CT result from 967 patients entering the ED with respiratory symptoms were collected. Using these parameters, an easy-to-use point-based algorithm, called the corona-score, was developed to discriminate between patients that tested positive for SARS-CoV-2 by RT-PCR and those testing negative. Computational sampling was used to optimize the corona-score. Validation of the model was performed using data from 592 patients. The corona-score model yielded an area under the receiver operating characteristic curve of 0.91 in the validation population. Patients testing negative for SARS-CoV-2 showed a median corona-score of 3 vs. 11 (scale 0-14) in patients testing positive for SARS-CoV-2 (p<0.001). Using cut-off values of 4 and 11 the model has a sensitivity and specificity of 96 and 95%, respectively. The corona-score effectively predicts SARS-CoV-2 RT-PCR outcome based on routine parameters. This algorithm provides the means for medical professionals to rapidly evaluate SARS-CoV-2 infection status of patients presenting at the ED with respiratory symptoms. © 2020"
Laryngeal Evaluation during the COVID-19 Pandemic: Transcervical Laryngeal Ultrasonography,10.1177/0194599820922984,"The novel coronavirus disease (COVID-19), caused by the SARS-CoV-2 virus, has quickly become a global pandemic since its initial outbreak in China in late 2019. Institutions are faced with the challenge of upholding the standard of care while maintaining safety for health care personnel and patients. Due to the common performance of aerosol-generating endoscopic procedures in the upper respiratory tract, otolaryngologists are at uniquely high risk for potential infection. When possible, alternative diagnostic and treatment strategies should be pursued. For patients suspected of having functional laryngeal abnormalities, transcervical laryngeal ultrasound provides a rapid and noninvasive evaluation of vocal fold motion to inform decisions about safety of feeding, airway, and progression of care. © American Academy of Otolaryngology–Head and Neck Surgery Foundation 2020."
"COVID-19: Transmission, prevention, and potential therapeutic opportunities",10.1016/j.cca.2020.05.044,"The novel coronavirus disease (COVID-19) pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), remains a global challenge. Despite intense research efforts worldwide, an effective vaccine and viable treatment options have eluded investigators. Therefore, infection prevention, early viral detection and identification of successful treatment protocols provide the best approach in controlling disease spread. In this review, current therapeutic options, preventive methods and transmission routes of COVID-19 are discussed. © 2020 Elsevier B.V."
Covid-19: The inflammation link and the role of nutrition in potential mitigation,10.3390/nu12051466,"The novel coronavirus disease (COVID-19) pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has engulfed the world, affecting more than 180 countries. As a result, there has been considerable economic distress globally and a significant loss of life. Sadly, the vulnerable and immunocompromised in our societies seem to be more susceptible to severe COVID-19 complications. Global public health bodies and governments have ignited strategies and issued advisories on various handwashing and hygiene guidelines, social distancing strategies, and, in the most extreme cases, some countries have adopted “stay in place” or lockdown protocols to prevent COVID-19 spread. Notably, there are several significant risk factors for severe COVID-19 infection. These include the presence of poor nutritional status and pre-existing noncommunicable diseases (NCDs) such as diabetes mellitus, chronic lung diseases, cardiovascular diseases (CVD), obesity, and various other diseases that render the patient immunocompromised. These diseases are characterized by systemic inflammation, which may be a common feature of these NCDs, affecting patient outcomes against COVID-19. In this review, we discuss some of the anti-inflammatory therapies that are currently under investigation intended to dampen the cytokine storm of severe COVID-19 infections. Furthermore, nutritional status and the role of diet and lifestyle is considered, as it is known to affect patient outcomes in other severe infections and may play a role in COVID-19 infection. This review speculates the importance of nutrition as a mitigation strategy to support immune function amid the COVID-19 pandemic, identifying food groups and key nutrients of importance that may affect the outcomes of respiratory infections. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
COVID-19: the role of excessive cytokine release and potential ACE2 down-regulation in promoting hypercoagulable state associated with severe illness,10.1007/s11239-020-02224-2,"The novel coronavirus disease (COVID-19) has become a universally prevalent infectious disease. The causative virus of COVID-19 is severe acute respiratory syndrome coronavirus type 2. Recent retrospective clinical studies have established a significant association between the incidence of vascular thrombotic events and the severity of COVID-19. The enhancement in serum levels of markers that reflect a hypercoagulable state has been suggested to indicate a poor prognosis. Therefore, at present, it is crucial to understand the mechanisms that foster the hypercoagulable state in COVID-19. Over-activated inflammatory response, which is manifested as excessive cytokine release in COVID-19 patients, is also associated with COVID-19 severity. This review discusses the immuno-pathological basis of the excessive cytokine release in COVID-19. Besides, this article reviews the role of pro-inflammatory or anti-inflammatory cytokines, whose significant elevations in their serum levels have been consistently detected in multiple different clinical studies, in promoting the hypercoagulable state. Since the expression of angiotensin-converting enzyme 2 (ACE2) is potentially down-regulated in COVID-19, as proposed by a recent bio-informatic analysis, mechanisms through which reduced ACE2 expressions promote vascular thrombosis are summarized. In addition, the reciprocal-enhancing effects of the excessive cytokine release and the downregulated ACE2 expression on their pro-thrombotic activities are further discussed. Here, based on currently available evidence, we review the pathogenic mechanisms of the hypercoagulable state associated with severe cases of COVID-19 to give insights into prevention and treatment of the vascular thrombotic events in COVID-19. Graphic abstract: [Figure not available: see fulltext.]. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
"Virtual screening-driven drug discovery of SARS-CoV2 enzyme inhibitors targeting viral attachment, replication, post-translational modification and host immunity evasion infection mechanisms",10.1080/07391102.2020.1776639,"The novel coronavirus SARS-CoV2, the causative agent of the pandemic disease COVID-19, emerged in December 2019 forcing lockdown of communities in many countries. The absence of specific drugs and vaccines, the rapid transmission of the virus, and the increasing number of deaths worldwide necessitated the discovery of new substances for anti-COVID-19 drug development. With the aid of bioinformatics and computational modelling, ninety seven antiviral secondary metabolites from fungi were docked onto five SARS-CoV2 enzymes involved in viral attachment, replication, post-translational modification, and host immunity evasion infection mechanisms followed by molecular dynamics simulation and in silico ADMET prediction (absorption, distribution, metabolism, excretion and toxicity) of the hit compounds. Thus, three fumiquinazoline alkaloids scedapin C (15), quinadoline B (19) and norquinadoline A (20), the polyketide isochaetochromin D1 (8), and the terpenoid 11a-dehydroxyisoterreulactone A (11) exhibited high binding affinities on the target proteins, papain-like protease (PLpro), chymotrypsin-like protease (3CLpro), RNA-directed RNA polymerase (RdRp), non-structural protein 15 (nsp15), and the spike binding domain to GRP78. Molecular dynamics simulation was performed to optimize the interaction and investigate the stability of the top-scoring ligands in complex with the five target proteins. All tested complexes were found to have dynamic stability. Of the five top-scoring metabolites, quinadoline B (19) was predicted to confer favorable ADMET values, high gastrointestinal absorptive probability and poor blood-brain barrier crossing capacities. Communicated by Ramaswamy H. Sarma. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group."
COVID-19: Current Trends in Invitro Diagnostics,10.1007/s12291-020-00906-5,"The novel coronavirus SARS-CoV-2 is the seventh known species of coronavirus, infectious to human beings. The pandemic COVID-19 spread all over the world with an unprecedented spreading rate after its first appearance in Wuhan, China. As a novel viral disease there in no antiviral treatment or vaccine for the COVID-19. At present, the early detection and the quarantine of infected patients are the ways to stop the spreading of the disease. This review will discuss about the current invitro diagnostic methods used worldwide for the early and accurate diagnosis of COVID-19. Currently the nucleic acid based polymerase chain reaction is used as the reliable diagnostic platform and antigen/antibody detection immunoassays are playing the role of screening tests for early detection and prognosis in COVID-19 treatment. © 2020, Association of Clinical Biochemists of India."
Optimized qRT-PCR approach for the detection of intra-and extra-cellular SARS-CoV-2 RNAs,10.3390/ijms21124396,"The novel coronavirus SARS-CoV-2 is the causative agent of the acute respiratory disease COVID-19, which has become a global concern due to its rapid spread. Meanwhile, increased demand for testing has led to a shortage of reagents and supplies and compromised the performance of diagnostic laboratories in many countries. Both the World Health Organization (WHO) and the Center for Disease Control and Prevention (CDC) recommend multi-step RT-PCR assays using multiple primer and probe pairs, which might complicate the interpretation of the test results, especially for borderline cases. In this study, we describe an alternative RT-PCR approach for the detection of SARS-CoV-2 RNA that can be used for the probe-based detection of clinical isolates in diagnostics as well as in research labs using a low-cost SYBR green method. For the evaluation, we used samples from patients with confirmed SARS-CoV-2 infections and performed RT-PCR assays along with successive dilutions of RNA standards to determine the limit of detection. We identified an M-gene binding primer and probe pair highly suitable for the quantitative detection of SARS-CoV-2 RNA for diagnostic and research purposes. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
Automated detection of COVID-19 cases using deep neural networks with X-ray images,10.1016/j.compbiomed.2020.103792,"The novel coronavirus 2019 (COVID-2019), which first appeared in Wuhan city of China in December 2019, spread rapidly around the world and became a pandemic. It has caused a devastating effect on both daily lives, public health, and the global economy. It is critical to detect the positive cases as early as possible so as to prevent the further spread of this epidemic and to quickly treat affected patients. The need for auxiliary diagnostic tools has increased as there are no accurate automated toolkits available. Recent findings obtained using radiology imaging techniques suggest that such images contain salient information about the COVID-19 virus. Application of advanced artificial intelligence (AI) techniques coupled with radiological imaging can be helpful for the accurate detection of this disease, and can also be assistive to overcome the problem of a lack of specialized physicians in remote villages. In this study, a new model for automatic COVID-19 detection using raw chest X-ray images is presented. The proposed model is developed to provide accurate diagnostics for binary classification (COVID vs. No-Findings) and multi-class classification (COVID vs. No-Findings vs. Pneumonia). Our model produced a classification accuracy of 98.08% for binary classes and 87.02% for multi-class cases. The DarkNet model was used in our study as a classifier for the you only look once (YOLO) real time object detection system. We implemented 17 convolutional layers and introduced different filtering on each layer. Our model (available at (https://github.com/muhammedtalo/COVID-19)) can be employed to assist radiologists in validating their initial screening, and can also be employed via cloud to immediately screen patients. © 2020 Elsevier Ltd"
Humoral Immune Responses in COVID-19 Patients: A Window on the State of the Art,10.3389/fimmu.2020.01049,"The novel SARS-CoV-2 is a recently emerging virus causing a human pandemic. A great variety of symptoms associated with COVID-19 disease, ranging from mild to severe symptoms, eventually leading to death. Specific SARS-CoV-2 RT-PCR is the standard method to screen symptomatic people; however, asymptomatic subjects and subjects with undetectable viral load escape from the screening, contributing to viral spread. Currently, the lock down imposed by many governments is an important measure to contain the spread, as there is no specific antiviral therapy or a vaccine and the main treatments are supportive. Therefore, there is urgent need to characterize the virus and the viral-mediated responses, in order to develop specific diagnostic and therapeutic tools to prevent viral transmission and efficiently cure COVID-19 patients. Here, we review the current studies on two viral mediated-responses, specifically the cytokine storm occurring in a subset of patients and the antibody response triggered by the infection. Further studies are needed to explore both the dynamics and the mechanisms of the humoral immune response in COVID-19 patients, in order to guide future vaccine design and antibody-based therapies for the management of the disease. © Copyright © 2020 Siracusano, Pastori and Lopalco."
Follow-up studies in COVID-19 recovered patients - is it mandatory?,10.1016/j.scitotenv.2020.139021,"The novel Coronavirus disease 2019 (COVID-19) is an illness caused due to Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). The World Health Organization (WHO) has declared this outbreak a global health emergency and as on April 24, 2020, it has spread to 213 countries, with 25,91,015 confirmed cases and 742,855 cases have been recovered from COVID-19. In this dreadful situation our team has already published an article in the Science of the Total Environment, which elaborates the various aspects of the SARS-CoV-2 infection. In this situation, it is imperative to understand the possible outcome of COVID-19 recovered patients and determine if they have any other detrimental illnesses by longitudinal analysis to safeguard their life in future. It is necessary to follow-up these recovered patients and performs comprehensive assessments for detection and appropriate management towards their psychological, physical, and social realm. This urges us to suggest that it is highly important to provide counselling, moral support as well as a few recommended guidelines to the recovered patients and society to restore to normalcy. Epidemiological, clinical and immunological studies from COVID-19 recovered patients are particularly important to understand the disease and to prepare better for potential outbreaks in the future. Longitudinal studies on a larger cohort would help us to understand the in-depth prognosis as well as the pathogenesis of COVID-19. Also, follow-up studies will help us provide more information for the development of vaccines and drugs for these kinds of pandemics in the future. Hence, we recommend more studies are required to unravel the possible mechanism of COVID-19 infection and the after-effects of it to understand the characteristics of the virus and to develop the necessary precautionary measures to prevent it. © 2020 Elsevier B.V."
Malay Version of the Fear of COVID-19 Scale: Validity and Reliability,10.1007/s11469-020-00355-4,"The newly developed Persian Fear of COVID-19 Scale (FCV-19S) is a seven-item uni-dimensional scale that assesses the severity of fear of COVID-19. A translation and validation of the FCV-19S in the Malay language was expedited due to the severe psychological sequelae of COVID-19 in Malaysia. Formal WHO forward and backward translation sequences were employed in translating the English version into Malay. Malaysian university participants were recruited via convenience sampling online using snowball methods. The reliability and validity properties of the Malay FCV-19S were rigorously psychometrically evaluated (utilising both confirmatory factor analysis and Rasch analysis) in relation to socio-demographic variables and response to the depression, anxiety and stress subscales of the Malay validation of the DASS-21. The sample comprised 228 Malaysian participants. The Cronbach α value for the Malay FCV-19S was 0.893 indicating very good internal reliability. The results of the confirmatory factor analysis showed that the uni-dimensional factor structure of the FCV19S fitted well with the data. The FCV-19S-M was significantly correlated with anxiety (r = 0.481, p < 0.001) and stress (r = 0.389, p < 0.001) subscales of DASS-21. The FCV-19S-M’s properties tested using Rasch analysis were also satisfactory. Hence, the Malay FCV-19S is valid and reliable, with robust psychometric properties from classical and modern psychometric methods. It therefore is a highly crucial and timely addition to the psychological toolkit both in operational and research settings in identifying, managing and responding to the psychological distress engendered by COVID-19. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
The virology of SARS-CoV-2 [Die Virologie von SARS-CoV-2],10.1007/s00108-020-00853-6,"The new severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has far reaching effects on society, the economy and medical treatment. It is all the more important to understand the characteristics of the virus and to utilize them diagnostically, therapeutically and epidemiologically. This article firstly elucidates the medical importance of coronaviruses in general. Then angiotensin-converting enzyme 2 (ACE2) as the binding site of SARS-CoV‑2 and the possible influence on the disease susceptibility are explained. The gold standard for detection of an active SARS-CoV‑2 infection is the direct detection of the pathogen with nucleic acid amplification techniques. At the onset of symptoms, a swab of the upper airway is especially suitable due to the high viral burden. At a later stage direct detection can be achieved in samples from the lower airway or a stool or anal swab. Antigen or antibody tests cannot replace the direct detection of the pathogen; however, the detection of immunoglobulin G antibodies are of special interest for epidemiological questions (seroconversion time of sometimes several weeks). The plaque reduction neutralization test exclusively detects antibodies which neutralize viruses but the procedure is complicated. In addition, the importance of these antibodies with respect to immunity against a second infection is uncertain. Thanks to modern techniques thousands of SARS-CoV‑2 sequences are already available, which show a genomic variability. The D614G mutation in the S spikes seems to cause a higher infectiosity. Mutations can impair the diagnostics and treatment, which makes monitoring necessary. © 2020, Springer Medizin Verlag GmbH, ein Teil von Springer Nature."
Knowledge-based repositioning of the anti-HCV direct antiviral agent Sofosbuvir as SARS-CoV-2 treatment,10.1186/s13027-020-00302-x,"The new human coronavirus named SARS-CoV-2 is a positive-sense RNA virus for which no specific drugs are currently available. A knowledge-based analysis strongly suggests a possible repositioning of the anti-HCV direct antiviral agent (DAA) Sofosbuvir as treatment for SARS-CoV-2. Indeed, the RNA-dependent RNA-polymerases (RdRp) of the two viruses show high sequence and structural homology, supporting the likelihood of binding the Sofosbuvir molecule with similar efficiency. Such a repositioning would allow the containment of the SARS-CoV-2 pandemic and limit the progression of disease to potentially deadly COVID19. © 2020 The Author(s)."
Endourology and benign prostatic hyperplasia in COVID-19 pandemic,10.1590/S1677-5538.IBJU.2020.S104,"The new disease COVID-19 pandemic has completely modified our lifestyle, changing our personal habits and daily activities and strongly our professional activity. Following World Health Organization (WHO) and health care authorities around the World recommendations, all elective surgeries from benign diagnose procedures must be postponed and imperatively continue working on emergent and oncological urgent pathologies. Surgical elective treatment of benign prostatic hyperplasia (BPH) is not considered as a priority. During BPH endoscopic surgeries, urine and blood are mixed with the irrigation liquid implying a risk of viral presence. Furthermore, a steam and smoke bubble is being accumulated inside the bladder implying the risk of splashing and aerosols. The risks of other viral infections have been identified during endourological procedures and they are related to splashing events. Several studies observed 33-100% of splashing on goggles. All BPH endoscopic procedures must be postponed. In case of complete urinary obstruction, this event can be adequately treated by urethral or suprapubic catheter under local anesthesia. As soon as local COVID-19 prevalence decreases, endourological procedures could be restarted. As protocols are being validating around the World to redeem elective surgeries, a symptomatic obstructed patient could be operated knowing his COVID-19 status with a molecular PCR, a cleaned epidemiological interview with a normal preoperative protocol. If patient is COVID-19+, surgery must be delayed until complete recovery, because mortality could increase as Lei from Wuhan describes. Informed consent must include risks of complications related to COVID-19 disease. Surgery must be performed by an experienced surgeon in order to avoid increase of operating time and risks of complications. Surgical approach of BPH must be considered depending on availability of disposable material, infrastructure, and the epidemiological COVID-19 status of your area. The main aim is patients and healthcare staff safety. © 2020, Brazilian Society of Urology."
COVID-19: What you need to know,10.1016/j.genrep.2020.100756,"The new SARS-CoV-2 (Severe acute respiratory syndrome coronavirus 2) belongs to the family of coronaviruses, and it is a new strain of coronavirus that has not been previously identified in humans. It causes a contagious disease, which affects the respiratory system and can lead to severe complications in some cases. This virus was detected in China, then rapidly spread to almost all countries. Because of their complexity and the malignancy of the symptoms, they remain a center of interest for researchers. Herein, we provide a review in terms of transmission, clinical presentation, diagnosis, and treatment options in clinical trials of COVID-19 (coronavirus disease 2019), because readers need to update themselves regularly, and there is still much more to know about it. © 2020 Elsevier Inc."
Evaluation of a rapid igm-igg combined antibody test for sars-cov-2 infection: Single italian center study,10.3844/ajidsp.2020.85.88,"The need for timely establishment of diagnostic assays of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) is demanded in laboratories worldwide. We evaluated the performance of a flow immunoassay which can detect IgM an IgG antibodies simultaneously against SARS-CoV-2 virus in human blood within 15 min. Among the 132 positive novel Coronavirus Disease 19 (COVID-19) cases, 126 tests were consistent with previous quantitative Real Time PCR (qRT-PCR) assays. Among the 62 negative cases, 60 were consistent with qRT-PCR assays except for 2 cases. In this study, 2019-nCOV/COVID-19 IgG/IgM Rapid Test Device showed 95.5% sensitivity and 96.8% specificity. In conclusion, Rapid IgM-IgG Combined Antibody Test showed high detection consistency among all analysed samples. Suggesting that could be used for the rapid screening of SARS-CoV-2 carriers, either symptomatic or asymptomatic. © 2020, Universidade de Taubate. All rights reserved."
Evaluation of SARS-CoV-2 viral RNA in fecal samples,10.1186/s12985-020-01359-1,"The need for timely establishment of a complete diagnostic protocol of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is demanded worldwide. We selected 15 positive novel coronavirus disease 19 (COVID-19) patients with mild or no symptom. Initially, fecal samples were negative in the 67% (10/15) of the cases, while 33% (5/10) of the cases were positive. After serial virus RNA testing, 73% (11/15) of the cases resulted positive to fecal specimens. In particular, 15 days after the first positive respiratory specimens test, 6 fecal specimens became positive for SARS-CoV-2 RNA, while 13 respiratory test returned negative result. In conclusion, qRT-PCR assays of fecal specimens, is an important step to control infection, suggesting that samples remained positive for SARS-CoV-2 RNA longer time then respiratory tract samples. Our results enhance the recent knowledge on this emerging infectious disease and offer suggestions for a more complete diagnostic strategy. © 2020 The Author(s)."
"The first, holistic immunological model of COVID-19: Implications for prevention, diagnosis, and public health measures",10.1111/pai.13271,"The natural history of COVID-19 caused by SARS-CoV-2 is extremely variable, ranging from asymptomatic or mild infection, mainly in children, to multi-organ failure, eventually fatal, mainly in the eldest. We propose here the first model explaining how the outcome of first, crucial 10-15 days after infection, depends on the balance between the cumulative dose of viral exposure and the efficacy of the local innate immune response (natural IgA and IgM antibodies, mannose-binding lectin). If SARS-CoV-2 runs the blockade of this innate immunity and spreads from the upper airways to the alveoli in the early phases of the infections, it can replicate with no local resistance, causing pneumonia and releasing high amounts of antigens. The delayed and strong adaptive immune response (high-affinity IgM and IgG antibodies) that follows, causes severe inflammation and triggers mediator cascades (complement, coagulation, and cytokine storm), leading to complications often requiring intensive therapy and being, in some patients, fatal. Low-moderate physical activity can still be recommended. However, extreme physical activity and oral breathing with hyperventilation during the incubation days and early stages of COVID-19 facilitates re-inhalation and early direct penetration of high numbers of own virus particles in the lower airways and the alveoli, without impacting on the airway’s mucosae covered by neutralizing antibodies (""viral auto-inhalation"" phenomenon). This allows the virus to bypass the efficient immune barrier of the upper airway mucosa in already infected, young, and otherwise healthy athletes. In conclusion, whether the virus or the adaptive immune response reaches the lungs first is a crucial factor deciding the fate of the patient. This “quantitative and time-/sequence-dependent” model has several implications for prevention, diagnosis, and therapy of COVID-19 at all ages. © 2020 The Authors. Pediatric Allergy and Immunology published by John Wiley & Sons Ltd"
How to perform a nasopharyngeal swab in adults and children in the COVID-19 era,10.1016/j.anorl.2020.06.001,"The nasopharyngeal swab is currently the main testing method used to diagnose COVID-19. The principle is to collect respiratory cells infected by the virus and to use the RT-PCR (Reverse Transcription - Polymerase Chain Reaction) technique to detect the RNA of the virus. The false negative rate is high, about 30%, which can mainly be explained by an incorrect execution of the technique may increase the false negative rate and decrease the test's sensitivity. The aim of this note is to help healthcare providers to perform this test correctly in adults and children. © 2020 Elsevier Masson SAS"
Targeting adenosinergic pathway and adenosine A2A receptor signaling for the treatment of COVID-19: A hypothesis,10.1016/j.mehy.2020.110012,"The most serious health issue today is the rapid outbreak of Coronavirus Disease 2019 (COVID-19). More than 6,973,427 confirmed cases were diagnosed in nearly 213 countries and territories around the world and two international conveyances, causing globally over 400,000 deaths. Epidemiology, risk factors, and clinical characteristics of COVID-19 patients have been identified, but the factors influencing the immune system against COVID-19 have not been well established. Upon infection or cell damage, high amounts of adenosine triphosphate (ATP) are released from damaged cells, which serve as mediators of inflammation through purinergic cell surface receptor signaling. As a protective mechanism to prevent excessive damage to host tissue, adenosine counteracts ATP's effects by adenosine receptor stimulation to suppress the pro-inflammatory response. Adenosine is seen as a major obstacle to the efficacy of immune therapies, and the adenosinergic axis components are critical therapeutic targets for cancer and microbial infections. Pharmacologic inhibitors or antibodies specific to adenosinergic pathway components or adenosine receptors in microbial and tumor therapy have shown efficacy in pre-clinical studies and are entering the clinical arena. In this review, we provide a novel hypothesis explaining the potential for improving the efficiency of innate and adaptive immune systems by targeting adenosinergic pathway components and adenosine A2A receptor signaling for the treatment of COVID-19. © 2020 Elsevier Ltd"
Size and timescale of epidemics in the SIR framework,10.1016/j.physd.2020.132626,"The most important features to assess the severity of an epidemic are its size and its timescale. We discuss these features in a systematic way in the context of SIR and SIR-type models. We investigate in detail how the size and timescale of the epidemic can be changed by acting on the parameters characterizing the model. Using these results and having as guideline the COVID-19 epidemic in Italy, we compare the efficiency of different containment strategies for contrasting an epidemic diffusion such as social distancing, lockdown, tracing, early detection and isolation. © 2020 Elsevier B.V."
Clinical Insights into the Gastrointestinal Manifestations of COVID-19,10.1007/s10620-020-06362-8,"The month of December 2019 became a critical part of the time of humanity when the first case of coronavirus disease 2019 (COVID-19) was reported in the Wuhan, Hubei Province in China. As of April 13th, 2020, there have been approximately 1.9 million cases and 199,000 deaths across the world, which were associated with COVID-19. The COVID-19 is the seventh coronavirus to be identified to infect humans. In the past, Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome were the two coronaviruses that infected humans with a high fatality, particularly among the elderly. Fatalities due to COVID-19 are higher in patients older than 50 years of age or those with multimorbid conditions. The COVID-19 is mainly transmitted through respiratory droplets, with the most common symptoms being high fever, cough, myalgia, atypical symptoms included sputum production, headache, hemoptysis and diarrhea. However, the incubation period can range from 2 to 14 days without any symptoms. It is particularly true with gastrointestinal (GI) symptoms in which patients can still shed the virus even after pulmonary symptoms have resolved. Given the high percentage of COVID-19 patients that present with GI symptoms (e.g., nausea and diarrhea), screening patients for GI symptoms remain essential. Recently, cases of fecal–oral transmission of COVID-19 have been confirmed in the USA and China, indicating that the virus can replicate in both the respiratory and digestive tract. Moreover, the epidemiology, clinical characteristics, diagnostic procedures, treatments and prevention of the gastrointestinal manifestations of COVID-19 remain to be elucidated. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
Long Term Culture of Human Kidney Proximal Tubule Epithelial Cells Maintains Lineage Functions and Serves as an Ex vivo Model for Coronavirus Associated Kidney Injury,10.1007/s12250-020-00253-y,"The mechanism of how SARS-CoV-2 causes severe multi-organ failure is largely unknown. Acute kidney injury (AKI) is one of the frequent organ damage in severe COVID-19 patients. Previous studies have shown that human renal tubule cells could be the potential host cells targeted by SARS-CoV-2. Traditional cancer cell lines or immortalized cell lines are genetically and phenotypically different from host cells. Animal models are widely used, but often fail to reflect a physiological and pathogenic status because of species tropisms. There is an unmet need for normal human epithelial cells for disease modeling. In this study, we successfully established long term cultures of normal human kidney proximal tubule epithelial cells (KPTECs) in 2D and 3D culture systems using conditional reprogramming (CR) and organoids techniques. These cells had the ability to differentiate and repair DNA damage, and showed no transforming property. Importantly, the CR KPTECs maintained lineage function with expression of specific transporters (SLC34A3 and cubilin). They also expressed angiotensin-converting enzyme 2 (ACE2), a receptor for SARS-CoV and SARS-CoV-2. In contrast, cancer cell line did not express endogenous SLC34A3, cubilin and ACE2. Very interestingly, ACE2 expression was around twofold higher in 3D organoids culture compared to that in 2D CR culture condition. Pseudovirion assays demonstrated that SARS-CoV spike (S) protein was able to enter CR cells with luciferase reporter. This integrated 2D CR and 3D organoid cultures provide a physiological ex vivo model to study kidney functions, innate immune response of kidney cells to viruses, and a novel platform for drug discovery and safety evaluation. © 2020, Wuhan Institute of Virology, CAS."
